Lat,Lon,Best_Model,R2
27.25,82.25,SARIMA,0.4992242300727182
27.25,82.5,RNN,0.39085685211762766
27.25,82.75,LSTM,0.053112006770149045
27.25,83.0,SARIMA,0.23168088669392228
27.25,83.25,SARIMA,0.27213279276692737
27.25,83.5,SARIMA,-0.0836588899404287
27.5,70.0,SARIMA,-0.08427752272103484
27.5,70.25,SARIMA,-0.5127118169438705
27.5,71.0,LSTM,-1.0282896614652852
27.5,71.25,SARIMA,-0.3119116941323321
27.5,71.5,SARIMA,-0.014267442788917117
27.5,71.75,RNN,-0.15650349298029131
27.5,72.0,SARIMA,0.011192949649752593
27.5,72.25,SARIMA,-0.012719488229279818
27.5,72.5,LSTM,-0.0659433997294041
27.5,73.0,PCHIP,-3.1626854804853712
27.5,73.25,SARIMA,-0.4433974485241974
27.5,73.5,SARIMA,-2.5931315338650194
27.5,74.0,PCHIP,-0.7047499978510499
27.5,74.25,SARIMA,-0.03223499625732007
27.5,74.5,RNN,0.20360888152641188
27.5,74.75,PCHIP,-2.4999497794190635
27.5,75.0,SARIMA,-0.546383229607583
27.5,75.25,SARIMA,-8.362306855297842
27.5,75.75,RNN,0.0794867986352501
27.5,76.0,LSTM,-1.3469277029761808
27.5,76.25,SARIMA,-3.18371794974988
27.5,76.5,SARIMA,-2.1134689340985835
27.5,76.75,SARIMA,-1.32465877407388
27.5,77.0,SARIMA,-0.32984605939101597
27.5,77.25,LSTM,-1.631042821607136
27.5,77.5,RNN,0.020544825939501687
27.5,77.75,SARIMA,-8.21815618595318
27.5,78.0,LSTM,-0.2993612277318638
27.5,78.25,LSTM,-0.3562345873285706
27.5,78.5,SARIMA,0.7688846805583059
27.5,78.75,LSTM,0.07990331066848111
27.5,79.0,SARIMA,-2.0140311456251183
27.5,79.25,RNN,-0.6960978096346147
27.5,79.75,LSTM,-0.2327283822120534
27.5,80.0,LSTM,0.09123784948874747
27.5,80.25,SARIMA,-0.16783767315630205
27.5,80.5,SARIMA,-0.00032085025173400616
27.5,80.75,SARIMA,-0.05711362376902307
27.5,81.0,SARIMA,0.21798008518762435
27.5,81.25,SARIMA,0.31722739746052975
27.5,81.5,SARIMA,0.5604556498398001
27.5,81.75,SARIMA,0.3475447629100825
27.5,82.0,SARIMA,0.21816561744772078
27.5,82.25,SARIMA,0.35379366254075595
27.5,82.5,RNN,0.3911863980655037
27.75,70.25,RNN,-5.881181184686123
27.75,72.0,SARIMA,0.6118673011731891
27.75,72.25,RNN,-0.283294271242833
27.75,72.5,RNN,-3.83546386583219
27.75,72.75,SARIMA,-2.3820557272234555
27.75,73.0,PCHIP,-0.15623770566220418
27.75,73.25,PCHIP,-2.9539581574500455
27.75,73.5,RNN,-0.978891150017021
27.75,73.75,RNN,-10.47955451088599
27.75,74.0,RNN,0.34844142460123784
27.75,74.25,SARIMA,-11.139015234220357
27.75,74.5,LSTM,-0.43737249614758955
27.75,74.75,LSTM,-1.3240216026086395
27.75,75.0,SARIMA,0.09802789318957128
27.75,75.25,SARIMA,-1.2341840706512608
27.75,75.5,SARIMA,-0.22336367395557088
27.75,75.75,SARIMA,0.0010641137576749005
27.75,76.0,LSTM,0.05140309967577039
27.75,76.25,SARIMA,-10.106338073744407
27.75,76.5,RNN,0.18532961685405414
27.75,76.75,SARIMA,-0.17951742283091288
27.75,77.0,SARIMA,0.19794615369687718
27.75,77.25,RNN,0.22267791565220696
27.75,77.5,SARIMA,-0.46999481034520674
